"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP_GND,GND1,GND_OUT1,VCC1,Vout1,TP_Vout1,TP_Vref1";"TestPoint_Pad_1.5x1.5mm";7;"TestPoint";;;
2;"REF**,REF**";"Fiducial_1mm_Mask2mm";2;"Fiducial_1mm_Mask2mm";;;
3;"D1,D2,D3";"D_SOD-323F";3;"1N4148WS";;;
4;"LED1";"LED_0805_2012Metric";1;"LED";;;
5;"Q1,Q12,Q13";"SOT-23";3;"BC857";;;
6;"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q14,Q15";"SOT-23";11;"BC847";;;
7;"Q10";"TO-252-2";1;"MJD44E3T4G";;;
8;"R1";"R_0805_2012Metric";1;"3k3";;;
9;"R2,R3,R16";"R_0805_2012Metric";3;"2k";;;
10;"R4";"R_0805_2012Metric";1;"300";;;
11;"R5";"R_0805_2012Metric";1;"16k";;;
12;"R6,R8";"R_0805_2012Metric";2;"175";;;
13;"R7";"R_0805_2012Metric";1;"3k57";;;
14;"R9";"R_0805_2012Metric";1;"1.5";;;
15;"R10,R11";"R_0805_2012Metric";2;"4k7";;;
16;"R12";"R_0805_2012Metric";1;"32.4k";;;
17;"R13";"R_0805_2012Metric";1;"18k";;;
18;"R15";"R_0805_2012Metric";1;"150";;;
19;"RPOT1";"Potentiometer_Vishay_TS53YL_Vertical";1;"50k";;;
20;"Z1";"D_SOT-23_ANK";1;"BZX84-B3V0";;;
